fips,school
31085,Nebraska
31093,Nebraska
31097,Nebraska
31117,Nebraska
28079,Mississippi State
28083,Ole Miss
28095,Mississippi State
28099,Mississippi State
28103,Mississippi State
28115,Mississippi State
28117,Ole Miss
28127,Southern Miss
28139,Ole Miss
28151,Louisiana–Monroe
29001,Missouri
29009,Arkansas
29021,Kansas
29033,Missouri
29043,Arkansas
29053,Missouri
29065,Arkansas State
29075,Kansas
29085,Missouri
37001,North Carolina
37005,Appalachian State
37017,Coastal Carolina
37021,Appalachian State
37027,Appalachian State
37055,East Carolina
37057,Charlotte
37067,Wake Forest
37081,North Carolina
37091,Old Dominion
37103,East Carolina
37117,East Carolina
37127,East Carolina
37141,East Carolina
37151,North Carolina
37165,Coastal Carolina
37167,Charlotte
39055,Kent State
39063,Bowling Green
39065,Ohio State
39075,Akron
39089,Ohio
39097,Ohio State
39109,Miami (OH)
39121,Ohio
39131,Marshall
39143,Bowling Green
39147,Bowling Green
39159,Ohio State
39169,Akron
39173,Bowling Green
40009,Oklahoma
40019,North Texas
40031,Oklahoma
40043,Oklahoma
40053,Oklahoma State
37181,Duke
37191,East Carolina
37197,Wake Forest
38007,Wyoming
38019,Minnesota
38031,Minnesota
38035,Minnesota
38045,Minnesota
38061,Minnesota
38073,Minnesota
38079,Minnesota
38091,Minnesota
38103,Minnesota
39003,Bowling Green
39015,Cincinnati
39027,Cincinnati
39039,Bowling Green
39047,Ohio State
35015,Texas Tech
35027,New Mexico State
35028,New Mexico
35045,New Mexico
35053,New Mexico State
36003,Penn State
36021,Army
36037,Buffalo
36043,Syracuse
36057,UMass
36069,Syracuse
36083,UMass
36095,Army
36109,Syracuse
36121,Buffalo
36123,Syracuse
42013,Penn State
42015,Penn State
42021,Penn State
42031,Pittsburgh
42047,Penn State
42063,Pittsburgh
42069,Rutgers
42087,Penn State
42093,Penn State
42105,Penn State
42113,Penn State
42123,Penn State
45005,Georgia Southern
45009,South Carolina
45027,South Carolina
45039,South Carolina
47005,Vanderbilt
47007,Middle Tennessee
47013,Tennessee
47027,Western Kentucky
47031,Middle Tennessee
47045,Memphis
47057,Tennessee
47069,Ole Miss
47081,Vanderbilt
47093,Tennessee
47105,Tennessee
47117,Middle Tennessee
47129,Tennessee
47139,Tennessee
47151,Tennessee
47173,Tennessee
47179,Appalachian State
45049,Georgia Southern
45053,Georgia Southern
45075,South Carolina
45081,South Carolina
46003,Nebraska
46007,Wyoming
46017,Nebraska
46029,Minnesota
46035,Nebraska
46043,Nebraska
46055,Wyoming
46061,Nebraska
46087,Nebraska
46095,Nebraska
46103,Wyoming
46111,Nebraska
46125,Nebraska
46137,Wyoming
40059,Oklahoma State
40063,Oklahoma
40073,Oklahoma
40081,Oklahoma
40087,Oklahoma
40097,Arkansas
40109,Oklahoma
40123,Oklahoma
40127,Arkansas
40147,Tulsa
40153,Oklahoma State
41017,Oregon
41031,Oregon
41037,Nevada
41053,Oregon State
41069,Oregon
42005,Pittsburgh
48357,Oklahoma
48359,Texas Tech
48367,TCU
48379,SMU
48381,Texas Tech
48393,Texas Tech
48397,SMU
48411,Texas
48425,TCU
48429,TCU
48433,Texas Tech
48445,Texas Tech
48449,SMU
48459,Louisiana Tech
48463,UTSA
48475,Texas Tech
48491,Texas
48497,TCU
48507,UTSA
49011,Utah
47185,Middle Tennessee
47189,Middle Tennessee
48009,North Texas
48011,Texas Tech
48021,Texas
48031,Texas State
48047,UTSA
48053,Texas
48063,SMU
48069,Texas Tech
48079,Texas Tech
48095,UTSA
48099,Baylor
48103,Texas Tech
48115,Texas Tech
48123,Texas State
48127,UTSA
48137,UTSA
48149,Texas State
48159,SMU
48169,Texas Tech
48177,Texas State
48179,Texas Tech
48185,Sam Houston
48191,Texas Tech
48195,Texas Tech
48217,Baylor
48227,Texas Tech
48233,Texas Tech
48247,UTSA
48251,TCU
48263,Texas Tech
48265,UTSA
48275,TCU
48283,UTSA
48297,UTSA
48303,Texas Tech
48309,Baylor
48319,UTSA
48329,Texas Tech
48339,Houston
48349,Baylor
48353,Texas Tech
51121,Virginia Tech
51125,Liberty
51141,Wake Forest
51145,Virginia
51155,Virginia Tech
51157,James Madison
51173,Appalachian State
51187,Maryland
51197,Virginia Tech
51510,Maryland
51530,Liberty
51540,Virginia
51595,Old Dominion
51660,James Madison
51670,Old Dominion
51760,Virginia
51775,Virginia Tech
51820,Virginia
53013,Washington State
53021,Washington State
55029,Central Michigan
55033,Minnesota
55039,Wisconsin
55045,Wisconsin
55063,Wisconsin
55069,Wisconsin
55073,Wisconsin
55081,Wisconsin
55095,Minnesota
55103,Wisconsin
55115,Wisconsin
55129,Minnesota
55141,Wisconsin
56025,Wyoming
56031,Wyoming
56033,Wyoming
56045,Wyoming
72013,Miami
53041,Washington
53045,Washington
53065,Washington State
54001,West Virginia
54007,West Virginia
54013,Ohio
54021,West Virginia
54039,Marshall
54049,West Virginia
54061,West Virginia
54079,Marshall
54089,Virginia Tech
54101,Virginia Tech
55003,Minnesota
55005,Minnesota
55007,Minnesota
55017,Minnesota
55025,Wisconsin
49029,Utah
49031,BYU
49035,Utah
49051,BYU
50005,UMass
50019,UMass
51007,Virginia
51017,Liberty
51029,Liberty
51043,Maryland
51047,Virginia
51063,Virginia Tech
51075,Virginia
51101,Old Dominion
51111,Duke
51113,Virginia
01023,South Alabama
01025,South Alabama
01029,Jacksonville State
01031,Troy
01037,Auburn
01047,Troy
01055,Jacksonville State
01059,UAB
01061,Troy
01067,Troy
01071,Jacksonville State
01081,Auburn
01085,Troy
01087,Auburn
01089,Jacksonville State
02070,Washington
02110,Washington
02130,Washington
02185,Washington
02195,Washington
02220,Washington
02230,Washington
05143,Arkansas
05147,Arkansas State
06003,Nevada
06007,Nevada
01093,Alabama
01095,Jacksonville State
01097,South Alabama
01101,Troy
01117,UAB
01119,Alabama
01125,UAB
01131,Troy
02020,Washington
02068,Washington
72019,Miami
72025,Miami
72031,Miami
72045,Miami
72054,Miami
72061,Miami
72069,Miami
72083,Miami
72093,Miami
72105,Miami
72115,Miami
72129,Miami
72135,Miami
72145,Miami
01007,UAB
01011,Troy
01015,Jacksonville State
06045,California
06049,Nevada
06051,Fresno State
06057,Nevada
06059,San Diego State
06065,San Diego State
06069,Fresno State
06073,San Diego State
06075,California
06113,California
08001,Air Force
08007,New Mexico
08009,Air Force
08015,Air Force
08017,Air Force
08021,New Mexico
08023,Air Force
08029,Air Force
08037,Colorado
08043,Air Force
06081,Stanford
06083,UCLA
06087,San Jose State
06095,California
06101,California
06103,Nevada
06109,Fresno State
06009,Nevada
06013,San Jose State
06015,Oregon
02013,Washington
13149,Georgia State
20059,Kansas
06025,San Diego State
06029,USC
06031,Fresno State
06039,Fresno State
13067,Georgia Tech
13069,Georgia Southern
13073,South Carolina
13077,Georgia State
13081,Florida State
13087,Florida State
13093,Georgia Southern
13095,Florida State
13101,Florida
13103,Georgia Southern
13109,Georgia Southern
13115,Georgia Tech
13119,Georgia
08061,Air Force
08063,Air Force
08069,Colorado State
12089,Florida
12091,Troy
12097,UCF
12099,Florida Atlantic
12101,South Florida
12107,UCF
12109,Florida
12113,South Alabama
12115,South Florida
12117,UCF
12127,UCF
12131,Florida State
13003,Georgia Southern
13005,Georgia Southern
13009,Georgia
13015,Georgia Tech
13023,Georgia Southern
13025,Georgia Southern
13031,Georgia Southern
13037,Florida State
13049,Florida
13053,Auburn
13057,Georgia Tech
13063,Georgia State
09013,UConn
10005,Navy
11001,Maryland
12003,Florida
12005,Florida State
12011,Miami
12015,Florida Atlantic
12071,FIU
12079,Florida State
12081,South Florida
02275,Washington
08085,Air Force
12017,South Florida
12029,Florida
12031,Florida
12041,Florida
12043,Florida Atlantic
12045,Florida State
12049,South Florida
12051,FIU
12053,South Florida
12061,Florida Atlantic
12063,Florida State
12069,UCF
08075,Colorado State
08077,Colorado
08081,Colorado
08087,Colorado State
08091,Air Force
08097,Air Force
08103,Colorado
08109,Air Force
08119,Air Force
08121,Air Force
08125,Air Force
09003,UConn
09007,UConn
05015,Arkansas
05017,Louisiana–Monroe
05025,Louisiana–Monroe
05027,Louisiana Tech
05033,Arkansas
05045,Arkansas State
05047,Arkansas
05053,Louisiana–Monroe
05059,Louisiana Tech
05067,Arkansas State
05073,Louisiana Tech
05081,Louisiana Tech
05083,Arkansas
05087,Arkansas
15001,Hawaii
15007,Hawaii
16001,Boise State
16003,Boise State
16009,Washington State
16017,Washington State
16019,Utah State
05089,Arkansas State
05091,Louisiana Tech
05093,Memphis
05099,Louisiana Tech
05103,Louisiana Tech
05113,Arkansas
05115,Arkansas
05121,Arkansas State
05133,Louisiana Tech
05137,Arkansas State
13317,Georgia
13321,Florida State
04005,Arizona State
04009,Arizona
04011,Arizona
04012,Arizona State
04017,Arizona
04021,Arizona
04023,Arizona
04027,Arizona State
05003,Louisiana–Monroe
05013,Louisiana–Monroe
16071,Utah State
16077,Utah State
16079,Washington State
16083,Utah State
17003,Arkansas State
17007,Northern Illinois
17011,Northern Illinois
17015,Northern Illinois
17023,Indiana
17033,Indiana
17037,Northern Illinois
17041,Illinois
17043,Northwestern
18117,Louisville
18121,Indiana
18127,Notre Dame
18135,Ball State
18137,Cincinnati
18141,Notre Dame
18149,Notre Dame
18151,Bowling Green
18159,Ball State
18161,Miami (OH)
18167,Indiana
18169,Ball State
18175,Louisville
18181,Purdue
19001,Iowa State
17047,Indiana
17051,Illinois
17053,Illinois
17057,Illinois
17063,Northern Illinois
18055,Indiana
18057,Ball State
18065,Ball State
18067,Ball State
18071,Louisville
18077,Louisville
18087,Notre Dame
18091,Notre Dame
18097,Indiana
18101,Indiana
18103,Ball State
18109,Indiana
16023,Utah State
16025,Boise State
16029,Utah State
16033,Utah State
16041,Utah State
16043,Utah State
16047,Boise State
16053,Utah State
16055,Washington State
16061,Washington State
16065,Utah State
16069,Washington State
18007,Purdue
18013,Indiana
18015,Purdue
18019,Louisville
18025,Louisville
18031,Miami (OH)
18035,Ball State
18045,Purdue
13137,Georgia
13141,Georgia
13147,Clemson
13155,Florida State
13159,Georgia
13165,Georgia Southern
13171,Georgia State
13173,Florida State
20091,Kansas
20097,Oklahoma State
20099,Tulsa
20103,Kansas
20109,Air Force
20113,Kansas State
20119,Oklahoma State
20125,Tulsa
20131,Kansas State
20141,Kansas State
20143,Kansas State
20157,Kansas State
20165,Kansas State
20167,Kansas State
20171,Kansas State
20177,Kansas
22057,Tulane
22061,Louisiana Tech
22063,Tulane
22069,Louisiana Tech
22075,Tulane
22079,Louisiana
22081,Louisiana Tech
22085,Louisiana Tech
21111,Louisville
21113,Kentucky
21123,Louisville
21129,Kentucky
21135,Marshall
21139,Western Kentucky
21145,Vanderbilt
21153,Marshall
21159,Marshall
21167,Kentucky
21171,Western Kentucky
21173,Kentucky
21179,Kentucky
19053,Iowa State
18003,Ball State
13181,Georgia
19061,Wisconsin
19069,Iowa State
19075,Iowa State
19077,Iowa State
19089,Iowa
19093,Iowa State
19101,Iowa
19103,Iowa
19107,Iowa
19111,Iowa
19127,Iowa State
19129,Nebraska
19135,Iowa
19139,Iowa
19145,Nebraska
20181,Air Force
19153,Iowa State
19155,Nebraska
19159,Iowa State
19163,Iowa
19171,Iowa
19177,Iowa
19183,Iowa
19189,Iowa State
19193,Iowa State
20003,Kansas
20009,Kansas State
20017,Kansas State
20019,Tulsa
13211,Georgia
27081,Minnesota
27089,Minnesota
27091,Iowa State
27095,Minnesota
27097,Minnesota
27099,Minnesota
27105,Iowa State
27109,Minnesota
27111,Minnesota
27115,Minnesota
27117,Minnesota
27119,Minnesota
27129,Minnesota
27133,Iowa State
19059,Iowa State
27141,Minnesota
27145,Minnesota
27149,Minnesota
27157,Minnesota
27163,Minnesota
27171,Minnesota
28005,LSU
28009,Ole Miss
28011,Ole Miss
28015,Mississippi State
28021,Southern Miss
28031,Southern Miss
28039,South Alabama
19149,Iowa State
28045,Tulane
28051,Mississippi State
28053,Mississippi State
28059,South Alabama
28067,Southern Miss
28073,Southern Miss
23007,Boston College
13215,Auburn
13239,Troy
27077,Minnesota
45031,Coastal Carolina
45035,Coastal Carolina
45037,South Carolina
47011,Tennessee
47017,Vanderbilt
47021,Vanderbilt
47025,Tennessee
47033,Memphis
47035,Tennessee
47041,Middle Tennessee
47047,Memphis
47049,Tennessee
47059,Appalachian State
47061,Middle Tennessee
27137,Minnesota
23015,Boston College
23021,Boston College
23023,Boston College
23031,Boston College
28041,South Alabama
31149,Nebraska
31151,Nebraska
31155,Nebraska
31161,Colorado State
31169,Nebraska
31173,Nebraska
31181,Nebraska
32005,Nevada
32007,Utah
32013,Nevada
32017,UNLV
32023,UNLV
23011,Boston College
39105,Ohio
39107,Ball State
39117,Ohio State
39119,Ohio
39125,Bowling Green
39129,Ohio
39133,Kent State
39135,Miami (OH)
39139,Ohio State
39141,Ohio
39149,Ohio State
39151,Kent State
39157,Akron
39161,Bowling Green
47065,Tennessee
47067,Appalachian State
47071,Ole Miss
47077,Vanderbilt
47083,Vanderbilt
47087,Middle Tennessee
47095,Arkansas State
47101,Vanderbilt
47107,Tennessee
47109,Ole Miss
47111,Middle Tennessee
47119,Middle Tennessee
47125,Vanderbilt
47135,Vanderbilt
47137,Tennessee
24011,Navy
24013,Maryland
24021,Maryland
24023,West Virginia
24031,Maryland
24033,Navy
24043,Maryland
32031,Nevada
32510,Nevada
33003,Boston College
33009,Boston College
33015,Boston College
33019,UMass
34003,Rutgers
34009,Temple
34013,Rutgers
39167,West Virginia
39171,Bowling Green
39175,Ohio State
40003,Oklahoma State
40011,Oklahoma
40013,North Texas
40017,Oklahoma
40025,Texas Tech
40029,Oklahoma
40035,Arkansas
40039,Oklahoma
40045,Oklahoma
40049,Oklahoma
40055,Oklahoma
37193,Wake Forest
47141,Tennessee
48045,Texas Tech
48049,Baylor
48055,Texas State
48061,UTSA
48065,Texas Tech
48067,Louisiana Tech
48073,Sam Houston
48077,North Texas
48081,Texas Tech
48085,SMU
48087,Texas Tech
48091,Texas State
24047,Navy
25007,Boston College
25013,UConn
25015,UMass
25017,Boston College
34017,Rutgers
34019,Rutgers
34021,Rutgers
34029,Temple
34033,Temple
34035,Rutgers
34041,Rutgers
35007,New Mexico
30055,Wyoming
30057,Utah State
37195,East Carolina
37199,Appalachian State
38005,Minnesota
38009,Minnesota
38017,Minnesota
38027,Minnesota
38029,Minnesota
38037,Minnesota
38039,Minnesota
38043,Minnesota
38047,Minnesota
38053,Wyoming
38059,Minnesota
38063,Minnesota
47001,Tennessee
47003,Middle Tennessee
40065,Oklahoma
40071,Oklahoma State
40083,Oklahoma State
40085,North Texas
40091,Tulsa
40099,Oklahoma
40101,Tulsa
40107,Tulsa
40111,Tulsa
40117,Tulsa
40119,Oklahoma State
40125,Oklahoma
25021,Boston College
25023,Boston College
26003,Central Michigan
26005,Western Michigan
26007,Central Michigan
30063,Washington State
30065,Wyoming
30071,Wyoming
30077,Washington State
30083,Wyoming
30087,Wyoming
30091,Wyoming
30097,Utah State
30101,Washington State
38065,Minnesota
38067,Minnesota
38071,Minnesota
38075,Minnesota
38081,Minnesota
38089,Wyoming
38093,Minnesota
38097,Minnesota
38101,Minnesota
39001,Marshall
39005,Akron
39011,Ohio State
39013,West Virginia
39017,Cincinnati
39019,Pittsburgh
42003,Pittsburgh
42007,Pittsburgh
48361,Houston
48369,Texas Tech
48383,Texas Tech
48385,UTSA
48387,SMU
48395,Texas A&M
48399,Texas
48403,Louisiana Tech
48415,Texas Tech
48417,TCU
48419,Louisiana Tech
48423,Sam Houston
48427,UTSA
48431,Texas Tech
26017,Central Michigan
26019,Central Michigan
26021,Notre Dame
26027,Notre Dame
26031,Central Michigan
26033,Central Michigan
30109,Wyoming
31007,Colorado State
31011,Nebraska
31013,Wyoming
31019,Nebraska
31025,Nebraska
31029,Colorado State
31033,Colorado State
31039,Nebraska
31045,Wyoming
31051,Nebraska
31057,Colorado State
31071,Nebraska
31075,Colorado State
39023,Ohio State
39025,Cincinnati
39029,Pittsburgh
39033,Ohio State
39037,Miami (OH)
39041,Ohio State
39043,Toledo
39049,Ohio State
35019,New Mexico
35021,Texas Tech
35025,Texas Tech
35033,New Mexico
35039,New Mexico
47143,Tennessee
47147,Vanderbilt
47149,Middle Tennessee
47155,Tennessee
47161,Vanderbilt
47167,Memphis
47175,Middle Tennessee
47177,Middle Tennessee
45055,South Carolina
45061,South Carolina
45065,South Carolina
45071,South Carolina
45073,Clemson
26041,Central Michigan
26043,Wisconsin
26047,Central Michigan
26051,Central Michigan
26065,Michigan
26069,Central Michigan
17131,Iowa
13191,Georgia Southern
31079,Nebraska
31081,Nebraska
31083,Nebraska
31087,Nebraska
31099,Nebraska
31101,Colorado State
31105,Colorado State
31109,Nebraska
31115,Nebraska
31119,Nebraska
28091,Southern Miss
28097,Mississippi State
28101,Southern Miss
28109,Southern Miss
28119,Ole Miss
28121,Southern Miss
28129,Southern Miss
35041,Texas Tech
35043,New Mexico
35049,New Mexico
35057,New Mexico
35061,New Mexico
36007,Syracuse
36011,Syracuse
36013,Buffalo
36019,UMass
36027,Army
36033,Syracuse
36035,UMass
36039,Army
40131,Tulsa
40135,Arkansas
40137,Oklahoma
40143,Tulsa
40145,Tulsa
40149,Oklahoma
41003,Oregon
41005,Oregon State
41011,Oregon
41013,Oregon
41021,Washington State
41027,Oregon State
26075,Michigan
26079,Central Michigan
26081,Western Michigan
26087,Eastern Michigan
26093,Michigan
26095,Central Michigan
26099,Eastern Michigan
26101,Central Michigan
26115,Toledo
28137,Ole Miss
28141,Mississippi State
28143,Ole Miss
28153,Southern Miss
28155,Mississippi State
28157,LSU
28163,Mississippi State
29007,Missouri
29017,Arkansas State
29023,Arkansas State
29029,Missouri
29035,Arkansas State
29041,Missouri
29045,Iowa
36041,UMass
36045,Syracuse
36051,Buffalo
36055,Syracuse
36059,Rutgers
36063,Buffalo
36071,Army
36073,Buffalo
36075,Syracuse
48435,UTSA
48437,Texas Tech
48441,TCU
48447,TCU
48451,UTSA
48453,Texas
48457,Sam Houston
48467,SMU
48469,Rice
48477,Texas A&M
48483,Oklahoma
48485,North Texas
48489,UTSA
48499,SMU
49001,BYU
49007,BYU
26071,Wisconsin
26125,Eastern Michigan
26131,Minnesota
26135,Central Michigan
26145,Michigan State
26147,Eastern Michigan
26157,Eastern Michigan
29047,Kansas
29051,Missouri
29055,Missouri
29057,Arkansas
29061,Missouri
29067,Arkansas State
29073,Missouri
29077,Arkansas
29079,Missouri
29087,Kansas
37011,Appalachian State
37013,East Carolina
37019,Coastal Carolina
37025,Charlotte
13223,Georgia Tech
36081,Rutgers
36087,Army
36089,Syracuse
36093,UMass
36099,Syracuse
36103,UConn
36107,Syracuse
36117,Syracuse
42017,Temple
42023,Penn State
45079,South Carolina
45083,Clemson
45085,Coastal Carolina
45089,Coastal Carolina
46005,Minnesota
46011,Minnesota
46019,Wyoming
46023,Nebraska
46033,Wyoming
46039,Minnesota
46041,Nebraska
46045,Minnesota
46051,Minnesota
46059,Nebraska
26159,Western Michigan
26163,Eastern Michigan
27001,Minnesota
27003,Minnesota
27011,Minnesota
27017,Minnesota
27025,Minnesota
27035,Minnesota
27037,Minnesota
27041,Minnesota
27043,Iowa State
27045,Wisconsin
27053,Minnesota
27059,Minnesota
37035,Charlotte
37037,NC State
37039,Tennessee
37041,Old Dominion
37047,Coastal Carolina
37059,Wake Forest
37061,East Carolina
37065,East Carolina
37069,NC State
37071,Charlotte
37075,Tennessee
37077,NC State
37083,East Carolina
37087,Clemson
42027,Penn State
42029,Temple
42033,Penn State
42039,Pittsburgh
42045,Temple
42049,Buffalo
42051,West Virginia
42055,Maryland
42061,Penn State
42067,Penn State
42073,Pittsburgh
42079,Rutgers
41029,Oregon
41033,Oregon
41039,Oregon
41043,Oregon
41049,Washington State
41051,Oregon State
41059,Washington State
41065,Oregon State
41071,Oregon State
27063,Iowa State
27065,Minnesota
27069,Minnesota
29105,Missouri
29111,Missouri
29119,Arkansas
29125,Missouri
29129,Missouri
29139,Missouri
29141,Missouri
29147,Kansas
29153,Arkansas State
29157,Arkansas State
29161,Missouri
29167,Arkansas
37095,East Carolina
37099,Clemson
37105,NC State
37111,Appalachian State
37115,Appalachian State
37121,Appalachian State
37129,Coastal Carolina
37135,North Carolina
37139,Old Dominion
37143,Old Dominion
37147,East Carolina
37153,Charlotte
42085,Pittsburgh
42089,Rutgers
42095,Rutgers
42101,Temple
42109,Penn State
42111,West Virginia
42115,Army
42119,Penn State
42121,Pittsburgh
42125,West Virginia
42133,Navy
49009,BYU
49013,BYU
49019,BYU
49023,BYU
48001,Sam Houston
48013,UTSA
48015,Rice
48017,Texas Tech
48023,TCU
48025,UTSA
48029,UTSA
48033,Texas Tech
48035,Baylor
48039,Houston
29171,Missouri
29175,Missouri
29177,Missouri
29181,Arkansas State
29186,Arkansas State
29187,Arkansas State
29197,Missouri
29203,Arkansas State
29207,Arkansas State
29213,Arkansas
29219,Missouri
29225,Arkansas
29510,Missouri
30003,Wyoming
37159,Charlotte
37163,Coastal Carolina
37169,Wake Forest
37175,Clemson
39061,Cincinnati
39071,Cincinnati
39077,Akron
39081,Pittsburgh
39087,Marshall
39093,Akron
39099,Pittsburgh
39101,Ohio State
44001,Boston College
44003,UConn
44005,UConn
45001,Clemson
45003,South Carolina
45007,Clemson
45017,South Carolina
45023,South Carolina
45025,Coastal Carolina
46063,Wyoming
46065,Nebraska
46069,Nebraska
46075,Nebraska
